"N_med","N_lci","N_uci","year_i","year","Loss_med","Loss_lci","Loss_uci"
10134813063.627,9926057108.18349,10347114993.3702,1,1970,0,0,0
10073634875.2396,9853830874.38731,10301024782.4508,2,1971,-60502389.2831039,-157871918.324836,39675258.6479908
10010540563.8036,9790318794.72066,10231074383.8909,3,1972,-124117506.177465,-220951209.570342,-29918693.0935646
9942787442.50512,9730185505.15163,10163000426.0064,4,1973,-191472410.460461,-289634044.129065,-97707730.8447908
9861235546.60656,9647533415.66838,10086934792.5628,5,1974,-271477805.954149,-372475742.43379,-173537427.444312
9759953215.89389,9542910879.31817,9985369008.78729,6,1975,-375073258.148102,-481738734.265942,-268480581.393219
9644025546.08863,9428256723.22636,9869308914.09018,7,1976,-489880111.680082,-607653274.854801,-375005944.81556
9519001169.3143,9304846724.57699,9743115661.5354,8,1977,-613767613.454508,-736243064.785981,-493526477.980969
9396620072.94323,9180040851.69769,9627386008.65088,9,1978,-736089807.38063,-865205273.595902,-606605715.971653
9275222496.65203,9062599038.93977,9507265375.49659,10,1979,-858071390.533173,-993946846.40854,-722762625.597851
9160958607.84837,8948691020.88769,9391963006.37626,11,1980,-972430626.934147,-1112713098.19036,-826484560.777755
9051267961.92266,8834610523.69549,9277455591.8869,12,1981,-1083864357.80209,-1226627564.35804,-938314425.183329
8943553764.40693,8733911372.79975,9175311036.95028,13,1982,-1188193851.62016,-1335876429.70941,-1038319640.85065
8847455733.13875,8637296295.97196,9072817967.0133,14,1983,-1283622681.70026,-1438837719.96791,-1128520414.74094
8755200270.8282,8544230742.62675,8985274483.16392,15,1984,-1378746396.97745,-1535380354.94529,-1217327084.63815
8667270535.73746,8467032349.35461,8894159907.28529,16,1985,-1465656954.04116,-1622522027.95436,-1305983438.90254
8582251125.00881,8377850812.67359,8807425290.85597,17,1986,-1549346481.86052,-1705160430.7182,-1391416716.99926
8502903725.83926,8296405397.94168,8720625018.34659,18,1987,-1631771021.5388,-1788828245.39419,-1465415525.81677
8424446877.17078,8221699187.20734,8650147863.19535,19,1988,-1707705840.8413,-1871963144.59232,-1533901069.30445
8349277137.05588,8151971453.05563,8573006869.35394,20,1989,-1782210341.61436,-1948567417.28339,-1608426941.32138
8281700572.07988,8080152823.97263,8502309612.59791,21,1990,-1852997305.09265,-2012886612.30749,-1677500929.30239
8214876198.09255,8017834597.44192,8428624019.99429,22,1991,-1917414397.53859,-2082521203.58063,-1747756755.51004
8151164592.03085,7964127805.07298,8353026118.94214,23,1992,-1983265334.98641,-2139820973.59088,-1823724426.59454
8088850228.21919,7908269686.30156,8288640202.64127,24,1993,-2044311250.29565,-2199047919.16307,-1885743588.82783
8028018369.16471,7844896645.85039,8221885175.87143,25,1994,-2106643885.36024,-2260957302.82536,-1945980620.16532
7967332196.72905,7789064376.16456,8161151942.96416,26,1995,-2165453149.36164,-2324275632.11211,-2011089594.56218
7906939658.96002,7732020680.90381,8091519679.4631,27,1996,-2225780052.4527,-2383554614.94075,-2069923252.38413
7850501275.95511,7676885985.53695,8034170280.67374,28,1997,-2281443783.34441,-2444133649.5176,-2127624014.27094
7795867781.12628,7619623604.98327,7978084426.54841,29,1998,-2337845400.86823,-2495710481.56693,-2183137070.49504
7740423922.60407,7573666146.98394,7920041324.30668,30,1999,-2393505386.06457,-2550578486.08525,-2236941450.26837
7689058898.53446,7522503461.5602,7863198957.76505,31,2000,-2444093806.92657,-2601273059.09499,-2290759463.52243
7638779448.53933,7473121216.17187,7813608532.21752,32,2001,-2493936119.50016,-2647855026.18028,-2338415112.04281
7595413730.37777,7435712882.10705,7767455632.16919,33,2002,-2537901662.44619,-2699192689.88003,-2379862145.04221
7552917926.42854,7394601087.63189,7724086499.74282,34,2003,-2579729826.56173,-2741740413.56268,-2421782508.9595
7514545909.84962,7351286188.50951,7684403737.54419,35,2004,-2619128303.191,-2777525530.27356,-2461615705.16672
7478244202.18482,7318168963.26942,7644377812.20228,36,2005,-2654908389.94782,-2814604498.00216,-2496976652.38368
7440330502.94467,7289716240.73881,7598833528.01652,37,2006,-2691820071.98355,-2858733129.04129,-2530240188.49772
7409278154.93315,7259405566.86319,7567126713.03836,38,2007,-2723836606.25828,-2890804985.47614,-2564977761.67599
7382677233.08911,7227494619.57563,7538058534.58387,39,2008,-2751393320.03457,-2917367605.17865,-2587833211.92959
7354634599.1263,7204326666.2743,7507396595.52331,40,2009,-2778764646.87052,-2945300983.28747,-2616043566.01292
7328369718.96036,7180384695.48375,7483440281.62984,41,2010,-2803965611.47514,-2975124465.55177,-2638088261.48689
7302918452.14696,7154889991.73185,7464270878.80086,42,2011,-2828728572.50284,-2996347909.00043,-2663823780.72935
7282273507.0549,7131702262.05864,7436303156.12134,43,2012,-2851373099.52624,-3022212983.72098,-2681872529.92187
7261402975.47266,7108744302.57907,7415560315.8882,44,2013,-2871250723.52406,-3045586903.05789,-2707761504.49524
7243293109.96386,7093448711.99188,7401479399.40023,45,2014,-2890478930.54519,-3062104144.75697,-2716135897.26346
7229348578.07364,7081514818.10983,7390316427.76781,46,2015,-2902996095.37655,-3081415461.83716,-2728422699.306
7229161774.70568,7068398134.24211,7397892907.31823,47,2016,-2903559417.40153,-3078663514.33463,-2729644945.96914
7223192262.80947,7056938769.37618,7396885658.70684,48,2017,-2909555414.66796,-3090123559.67774,-2729679062.24972
